id,qid1,qid2,question1,question2,is_duplicate,qID_Q1,part_of_speech_counter_Q1,number_of_numbers_Q1,number_of_words_Q1,length_of_longest_word_Q1,word2vec_mean_of_question_Q1,counter_question_words_Q1,th3_biggest_tfidf_Q1,qID_Q2,part_of_speech_counter_Q2,number_of_numbers_Q2,number_of_words_Q2,length_of_longest_word_Q2,word2vec_mean_of_question_Q2,counter_question_words_Q2,th3_biggest_tfidf_Q2,diff_between_number_of_words,diff_between_number_of_numbers,diff_between_length_of_longest_word,diff_between_counter_question_words,similarity_between_word2vec_mean_of_question,sum_diff_part_of_speech_counter,number_of_common_words,number_of_common_words_without_stopwords,both_containing_parenthesis
1652,3289,3290,Why didn't Google create the same set of features to follow Paralympics - as they did with the Olympics?,What are the major functions of the liver?,0,3289,"Counter({'VB': 3, 'IN': 3, 'NNS': 3, 'VBD': 2, 'DT': 2, 'WRB': 1, 'RB': 1, 'JJ': 1, 'NN': 1, 'TO': 1, ':': 1, 'PRP': 1, '.': 1})",0,19,11,do,1,"{'features': 8.190173521758819, 'olympics': 7.6793478979928285, 'paralympics': 8.595638629866983}",3290,"Counter({'DT': 2, 'WDT': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1, 'IN': 1, 'NN': 1, '.': 1})",0,8,9,the,1,"{'functions': 8.190173521758819, 'liver': 8.595638629866983, 'major': 6.516197088187147}",11,0,2,0,0.2768852114677429,14,2,0,0
1653,3291,3292,What disorders are more common in adult women than men?,Dear respected experts: What are the common symptoms of prostrate disorder in men. And what is the first thing men should do to cure it.?,0,3291,"Counter({'NNS': 3, 'JJ': 2, 'IN': 2, 'WP': 1, 'VBP': 1, 'JJR': 1, '.': 1})",0,10,9,women,1,"{'adult': 7.902491449307038, 'disorders': 8.190173521758819, 'women': 6.5807356093247185}",3292,"Counter({'NNS': 4, 'NN': 3, '.': 3, 'DT': 2, 'JJ': 2, 'IN': 2, 'VB': 2, 'RB': 1, 'VBN': 1, ':': 1, 'WDT': 1, 'VBP': 1, 'CC': 1, 'WP': 1, 'VBZ': 1, 'MD': 1, 'TO': 1, 'PRP': 1})",0,28,9,do,2,"{'dear': 8.595638629866983, 'experts': 8.595638629866983, 'men': 13.032394176374295, 'prostrate': 8.595638629866983}",18,0,0,1,0.13246163725852966,4,4,2,0
1654,3293,3294,"What is the meaning of automatic route, FIPB route, etc. of FDI? What are the pro and cons of each entry gate within the Indian economy? What is the rationale behind choosing one over the other?",What are the diffences between FDI and FII?,0,3293,"Counter({'NN': 8, 'DT': 6, 'IN': 6, 'JJ': 5, '.': 4, 'WP': 2, 'VBZ': 2, ',': 2, 'FW': 1, 'WDT': 1, 'VBP': 1, 'CC': 1, 'NNS': 1, 'VBG': 1, 'CD': 1})",0,41,9,the,3,"{'fipb': 8.595638629866983, 'rationale': 8.595638629866983, 'route': 17.191277259733965}",3294,"Counter({'NN': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'NNS': 1, 'IN': 1, 'CC': 1, '.': 1})",0,8,9,between,1,"{'diffences': 8.595638629866983, 'fdi': 8.190173521758819, 'fii': 8.595638629866983}",33,0,0,2,0.2748078405857086,33,4,1,0
1655,3295,3296,Does critical thinking help to burn calories?,Does thinking burns calories?,1,3295,"Counter({'NN': 2, 'VBZ': 1, 'JJ': 1, 'TO': 1, 'VB': 1, 'NNS': 1, '.': 1})",0,7,8,calories,0,"{'burn': 7.6793478979928285, 'calories': 7.209344268747093, 'critical': 8.190173521758819, 'thinking': 7.209344268747093}",3296,"Counter({'VBZ': 1, 'VBG': 1, 'VB': 1, 'NNS': 1, '.': 1})",0,4,8,calories,0,"{'burns': 8.595638629866983, 'calories': 7.209344268747093, 'thinking': 7.209344268747093}",3,0,0,0,1.0,4,3,3,0
1656,3297,3298,What are some ways to delete my Yahoo Mail account?,What are some ways to delete my Yahoo Mail account permanently?,1,3297,"Counter({'NN': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'NNS': 1, 'TO': 1, 'VB': 1, 'PRP$': 1, 'JJ': 1, '.': 1})",0,10,7,know_MyFace_Spacebook,1,"{'delete': 6.803879160638928, 'mail': 7.6793478979928285, 'yahoo': 8.190173521758819}",3298,"Counter({'NN': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'NNS': 1, 'TO': 1, 'VB': 1, 'PRP$': 1, 'JJ': 1, 'RB': 1, '.': 1})",0,11,11,know_MyFace_Spacebook,1,"{'mail': 7.6793478979928285, 'permanently': 7.902491449307038, 'yahoo': 8.190173521758819}",1,0,4,0,1.0,0,9,5,0
1657,3299,3300,How much bigger can a male bicep muscles get than a female's?,How much bigger can a male's bicep muscles get than a female's?,1,3299,"Counter({'JJ': 2, 'DT': 2, 'NN': 2, 'WRB': 1, 'JJR': 1, 'MD': 1, 'NNS': 1, 'VBP': 1, 'IN': 1, 'POS': 1, '.': 1})",0,12,8,much,1,"{'bicep': 8.190173521758819, ""female's"": 8.190173521758819, 'muscles': 8.190173521758819}",3300,"Counter({'NN': 3, 'DT': 2, 'POS': 2, 'WRB': 1, 'JJ': 1, 'JJR': 1, 'MD': 1, 'VBZ': 1, 'VB': 1, 'IN': 1, '.': 1})",0,12,8,much,1,"{'bicep': 8.190173521758819, ""female's"": 8.190173521758819, ""male's"": 8.595638629866983, 'muscles': 8.190173521758819}",0,0,0,0,1.0,5,10,7,0
1658,3301,3302,What is the formula of [math](a+b)^3[/math]?,How can I be great at math?,0,3301,"Counter({'NN': 5, 'VBZ': 2, 'NNP': 2, 'WP': 1, 'DT': 1, 'IN': 1, '(': 1, ')': 1, 'JJ': 1, '.': 1})",0,19,7,math,1,"{'[': 13.447672905930784, ']': 13.447672905930784, 'math': 12.488526745407011}",3302,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'JJ': 1, 'IN': 1, 'NN': 1, '.': 1})",0,7,5,pioneer_LaLanne,1,"{'?': 1.0007542426504639, 'great': 6.723836452965392, 'math': 6.2442633727035055}",12,0,2,0,0.30259644985198975,12,0,0,0
1659,3303,3304,How can a company make profit but still be cash flow negative?,How does change in working capital affect a company's cash flow?,0,3303,"Counter({'NN': 4, 'WRB': 1, 'MD': 1, 'DT': 1, 'VBP': 1, 'CC': 1, 'RB': 1, 'VB': 1, 'JJ': 1, '.': 1})",0,12,8,it,1,"{'cash': 7.902491449307038, 'negative': 7.902491449307038, 'profit': 8.595638629866983}",3304,"Counter({'NN': 4, 'VB': 2, 'WRB': 1, 'VBZ': 1, 'IN': 1, 'VBG': 1, 'DT': 1, 'POS': 1, '.': 1})",0,11,9,affect,1,"{'capital': 8.595638629866983, 'cash': 7.902491449307038, ""company's"": 8.190173521758819}",1,0,1,0,0.09339425712823868,6,3,2,0
1660,3305,3306,Will an MBA help my career?,How will an MBA help me?,0,3305,"Counter({'NN': 3, 'MD': 1, 'DT': 1, 'PRP$': 1, '.': 1})",0,6,6,my,0,"{'career': 6.344346831260488, 'help': 5.887588428764773, 'mba': 7.497026341198874}",3306,"Counter({'NN': 2, 'WRB': 1, 'MD': 1, 'DT': 1, 'PRP': 1, '.': 1})",0,6,4,how,1,"{'?': 1.0007542426504639, 'help': 5.887588428764773, 'mba': 7.497026341198874}",0,0,2,1,0.15073040127754211,2,3,2,0
1661,3307,3308,Why does Quora moderation delete questions about Quora moderation?,What kind of questions get deleted on Quora?,0,3307,"Counter({'NN': 2, 'JJ': 2, 'WRB': 1, 'VBZ': 1, 'VB': 1, 'NNS': 1, 'IN': 1, '.': 1})",0,9,10,moderation,1,"{'delete': 6.803879160638928, 'moderation': 16.380347043517638, 'quora': 9.71593802316723}",3308,"Counter({'IN': 2, 'NNS': 2, 'WP': 1, 'NN': 1, 'VBP': 1, 'VBN': 1, '.': 1})",0,8,9,what,1,"{'deleted': 7.497026341198874, 'kind': 6.64972848081167, 'questions': 5.792278248960448}",1,0,1,0,0.14572298526763916,8,1,1,0
1662,3309,3310,Does meditation increase creativity?,Can meditation increase creativity?,1,3309,"Counter({'NN': 2, 'VBZ': 1, 'VB': 1, '.': 1})",0,4,10,meditation,0,"{'creativity': 7.6793478979928285, 'increase': 6.344346831260488, 'meditation': 7.6793478979928285}",3310,"Counter({'VB': 2, 'MD': 1, 'NN': 1, '.': 1})",0,4,10,meditation,0,"{'creativity': 7.6793478979928285, 'increase': 6.344346831260488, 'meditation': 7.6793478979928285}",0,0,0,0,1.0,3,3,3,0
1663,3311,3312,What should I do if my boyfriend never makes time for me?,"What should I do if my girlfriend who promised me that she would never leave me and loved me more than my mom, left me for someone else?",0,3311,"Counter({'IN': 2, 'NN': 2, 'WP': 1, 'MD': 1, 'VB': 1, 'VBP': 1, 'PRP$': 1, 'RB': 1, 'VBZ': 1, 'PRP': 1, '.': 1})",0,12,9,I,1,"{'boyfriend': 6.803879160638928, 'makes': 6.516197088187147, 'time': 4.971297696890618}",3312,"Counter({'PRP': 5, 'IN': 4, 'NN': 3, 'VBD': 3, 'WP': 2, 'MD': 2, 'VB': 2, 'PRP$': 2, 'RB': 2, 'VBP': 1, 'CC': 1, 'JJR': 1, ',': 1, '.': 1})",0,29,10,me,2,"{'loved': 8.190173521758819, 'mom': 8.595638629866983, 'promised': 8.190173521758819}",17,0,1,1,0.6996651291847229,13,8,3,0
1664,3313,3314,What is the thought process behind designing a country's national flag?,How is the story behind your country's national flag?,1,3313,"Counter({'NN': 4, 'DT': 2, 'WP': 1, 'VBZ': 1, 'IN': 1, 'VBG': 1, 'POS': 1, 'JJ': 1, '.': 1})",0,11,9,%_#F########_9v.jsn,1,"{'designing': 8.595638629866983, 'flag': 8.190173521758819, 'thought': 8.190173521758819}",3314,"Counter({'NN': 3, 'WRB': 1, 'VBZ': 1, 'DT': 1, 'IN': 1, 'PRP$': 1, 'POS': 1, 'JJ': 1, '.': 1})",0,9,9,the,1,"{""country's"": 7.902491449307038, 'flag': 8.190173521758819, 'national': 6.803879160638928, 'story': 6.803879160638928}",2,0,0,0,0.40491825342178345,4,6,4,0
1665,3315,3316,"Miracle: If any, what is the scientific mystery behind the Tilma of the Lady of Guadalupe?",What is the mystery behind the iron piller of Delhi?,0,3315,"Counter({'NN': 5, 'IN': 4, 'DT': 4, ':': 1, ',': 1, 'WP': 1, 'VBZ': 1, 'JJ': 1, '.': 1})",0,18,10,%_#F########_9v.jsn,1,"{'guadalupe': 8.595638629866983, 'miracle': 8.595638629866983, 'tilma': 8.595638629866983}",3316,"Counter({'NN': 4, 'DT': 2, 'IN': 2, 'WP': 1, 'VBZ': 1, '.': 1})",0,10,7,the,1,"{'iron': 8.190173521758819, 'mystery': 7.6793478979928285, 'piller': 8.595638629866983}",8,0,3,0,0.40491825342178345,8,5,2,0
1666,3317,3318,Is Trump's foreign policy destructive?,How do toppers of class 11 study?,0,3317,"Counter({'NN': 3, 'VBZ': 1, 'POS': 1, 'JJ': 1, '.': 1})",0,5,11,policy,0,"{'destructive': 8.595638629866983, 'foreign': 7.902491449307038, 'policy': 7.902491449307038}",3318,"Counter({'NN': 2, 'WRB': 1, 'JJ': 1, 'NNS': 1, 'IN': 1, 'CD': 1, '.': 1})",1,7,7,toppers,1,"{'11': 7.6793478979928285, 'class': 6.344346831260488, 'toppers': 8.595638629866983}",2,1,4,1,-0.04391288384795189,3,0,0,0
1667,3319,3320,How do swimming pool filters work?,How do seawater swimming pools work?,0,3319,"Counter({'VB': 2, 'WRB': 1, 'VBG': 1, 'NN': 1, 'NNS': 1, '.': 1})",0,6,8,swimming,1,"{'filters': 8.595638629866983, 'pool': 8.595638629866983, 'swimming': 7.6793478979928285}",3320,"Counter({'WRB': 1, 'VBP': 1, 'RB': 1, 'VBG': 1, 'NNS': 1, 'NN': 1, '.': 1})",0,6,8,swimming,1,"{'pools': 8.595638629866983, 'seawater': 8.595638629866983, 'swimming': 7.6793478979928285}",0,0,0,0,1.0,2,4,3,0
1668,3321,3322,How will work and jobs change over the next 10-20 years?,How will work and jobs change in the next 10-20 years?,1,3321,"Counter({'NNS': 2, 'JJ': 2, 'WRB': 1, 'MD': 1, 'VB': 1, 'CC': 1, 'VBP': 1, 'IN': 1, 'DT': 1, '.': 1})",0,11,6,next,1,"{'10-20': 8.190173521758819, 'change': 6.030689272405446, 'jobs': 6.723836452965392}",3322,"Counter({'NNS': 2, 'JJ': 2, 'WRB': 1, 'MD': 1, 'VB': 1, 'CC': 1, 'VBP': 1, 'IN': 1, 'DT': 1, '.': 1})",0,11,6,next,1,"{'10-20': 8.190173521758819, 'change': 6.030689272405446, 'jobs': 6.723836452965392}",0,0,0,0,1.0,0,10,7,0
1669,3323,3324,Which tools do start up accelerators use to track the progress of their companies?,Which tools or methods can be used to track as to how often your followers/fans click “like” and comment upon the status updates you/your company post?,0,3323,"Counter({'VBP': 2, 'VB': 2, 'NNS': 2, 'WDT': 1, 'VBZ': 1, 'RP': 1, 'TO': 1, 'DT': 1, 'NN': 1, 'IN': 1, 'PRP$': 1, '.': 1})",0,14,12,By_Jonas_Elmerraji,1,"{'accelerators': 8.190173521758819, 'progress': 8.595638629866983, 'tools': 7.6793478979928285}",3324,"Counter({'NN': 4, 'NNS': 3, 'IN': 3, 'VBZ': 2, 'CC': 2, 'VB': 2, 'TO': 2, 'VBP': 2, 'WDT': 1, 'MD': 1, 'VBN': 1, 'WRB': 1, 'RB': 1, 'PRP$': 1, 'NNP': 1, 'DT': 1, '.': 1})",0,32,9,you,2,"{'/': 9.838675915919815, 'click': 8.595638629866983, 'fans': 8.595638629866983}",18,0,3,1,0.34426215291023254,9,5,3,0
1670,3325,3326,How does one fall in love?,How is it to fall in love.?,1,3325,"Counter({'NN': 2, 'WRB': 1, 'VBZ': 1, 'CD': 1, 'IN': 1, '.': 1})",0,6,4,do,1,"{'does': 3.618904887446409, 'fall': 6.803879160638928, 'love': 5.792278248960448}",3326,"Counter({'.': 2, 'WRB': 1, 'VBZ': 1, 'PRP': 1, 'TO': 1, 'VB': 1, 'IN': 1, 'NN': 1})",0,8,4,it,1,"{'.': 3.895158264074567, 'fall': 6.803879160638928, 'love': 5.792278248960448}",2,0,0,0,0.4439483880996704,3,3,2,0
1671,3327,3328,What are some interesting differences between American Sign Language and British Sign Language?,"Is it weird for a 'hearing' person with no deaf friends to want to learn the signed language most often used in their country (i.e. British Sign Language for me)? Is it comparative to learning a second vocal language, or would you consider it differently? I'm very interested in 'hearing' and deaf opinions.",0,3327,"Counter({'NN': 4, 'JJ': 3, 'WDT': 1, 'VBP': 1, 'DT': 1, 'NNS': 1, 'IN': 1, 'CC': 1, '.': 1})",0,13,11,language,1,"{'british': 7.3428756613716155, 'language': 11.524850571621535, 'sign': 15.358695795985657}",3328,"Counter({'JJ': 9, 'NN': 7, 'PRP': 5, 'IN': 5, 'DT': 4, '.': 4, 'VBZ': 3, 'VBG': 3, 'TO': 3, 'VB': 3, 'RB': 3, 'VBN': 2, 'CC': 2, ""''"": 1, 'RBS': 1, 'PRP$': 1, '(': 1, ')': 1, ',': 1, 'MD': 1, 'VBP': 1, 'POS': 1, 'NNS': 1})",0,65,11,%_#F########_9v.jsn,0,"{""'"": 23.41919442376713, 'deaf': 17.191277259733965, 'hearing': 17.191277259733965, 'language': 17.287275857432302}",52,0,0,1,0.2257973849773407,21,4,3,0
1672,3329,3330,Does global warming exist?,Is the global warming climate change things for real or a hoax?,1,3329,"Counter({'VBZ': 1, 'JJ': 1, 'VBG': 1, 'NN': 1, '.': 1})",0,4,7,warming,0,"{'exist': 6.723836452965392, 'global': 7.209344268747093, 'warming': 7.6793478979928285}",3330,"Counter({'NN': 4, 'DT': 2, 'JJ': 2, 'VBZ': 1, 'NNS': 1, 'IN': 1, 'CC': 1, '.': 1})",0,12,7,Jellyfish_swarm_northward,0,"{'climate': 7.6793478979928285, 'hoax': 7.902491449307038, 'warming': 7.6793478979928285}",8,0,0,0,0.5456739068031311,5,2,2,0
1673,3331,3332,What IQ will get you a GPA over 3.5?,Can you spot the error in the answer of this question?,0,3331,"Counter({'NN': 2, 'WP': 1, 'MD': 1, 'VB': 1, 'PRP': 1, 'DT': 1, 'IN': 1, 'CD': 1, '.': 1})",0,9,4,pioneer_LaLanne,1,"{'3.5': 8.190173521758819, 'gpa': 7.209344268747093, 'iq': 7.091561233090709}",3332,"Counter({'DT': 3, 'NN': 3, 'IN': 2, 'MD': 1, 'PRP': 1, 'VB': 1, '.': 1})",0,11,8,this,0,"{'answer': 6.803879160638928, 'error': 7.902491449307038, 'spot': 7.6793478979928285}",2,0,4,1,0.4110778868198395,6,1,0,0
1674,3333,3334,"If Uber drivers can't see their destination in advance, what happens if they accept an extremely far destination?",When did Uber stop letting drivers see a riders destination?,0,3333,"Counter({'IN': 3, 'RB': 3, 'NN': 3, 'JJ': 1, 'NNS': 1, 'MD': 1, 'VB': 1, 'PRP$': 1, ',': 1, 'WP': 1, 'VBZ': 1, 'PRP': 1, 'VBP': 1, 'DT': 1, '.': 1})",0,19,11,so,1,"{'accept': 8.190173521758819, 'advance': 8.595638629866983, 'destination': 14.994052682397747, 'drivers': 8.190173521758819}",3334,"Counter({'VB': 2, 'NNS': 2, 'WRB': 1, 'VBD': 1, 'VBG': 1, 'VBP': 1, 'DT': 1, 'NN': 1, '.': 1})",0,10,11,drivers,1,"{'drivers': 8.190173521758819, 'letting': 8.595638629866983, 'riders': 8.595638629866983}",9,0,0,0,0.15145692229270935,17,4,4,0
1675,3335,3336,"Marx said ""The religion is opium of the people"". Then how and why Communist parties of India turned anti-Hindu?",Why are the Indian Left called anti-Hindu when communist ideology is against all religions?,0,3335,"Counter({'NN': 4, 'VBD': 2, 'DT': 2, 'IN': 2, 'NNS': 2, '.': 2, 'WRB': 2, 'JJ': 2, '``': 1, 'VBZ': 1, ""''"": 1, 'RB': 1, 'CC': 1})",0,22,10,Socialism_communism,2,"{'""': 9.555852607820157, 'marx': 8.595638629866983, 'opium': 8.595638629866983, 'turned': 8.595638629866983}",3336,"Counter({'NN': 4, 'WRB': 2, 'DT': 2, 'VBP': 1, 'JJ': 1, 'VBN': 1, 'VBZ': 1, 'IN': 1, 'NNS': 1, '.': 1})",0,14,10,Socialism_communism,2,"{'anti-hindu': 8.190173521758819, 'communist': 8.190173521758819, 'ideology': 8.595638629866983, 'religions': 8.595638629866983}",8,0,0,0,1.0,10,2,0,0
1676,3337,3338,What is your favorite saying and why?,What are some of your favorite sayings?,1,3337,"Counter({'WP': 1, 'VBZ': 1, 'PRP$': 1, 'JJ': 1, 'NN': 1, 'CC': 1, 'WRB': 1, '.': 1})",0,7,8,why,2,"{'?': 1.0007542426504639, 'favorite': 7.3428756613716155, 'saying': 7.902491449307038}",3338,"Counter({'WDT': 1, 'VBP': 1, 'DT': 1, 'IN': 1, 'PRP$': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,7,8,your,1,"{'?': 1.0007542426504639, 'favorite': 7.3428756613716155, 'sayings': 8.595638629866983}",0,0,0,1,0.08419693261384964,5,3,2,0
1677,3339,3340,Why does the caste system persist in India?,Why caste system still survive in India?,1,3339,"Counter({'NN': 4, 'WRB': 1, 'VBZ': 1, 'DT': 1, 'IN': 1, '.': 1})",0,8,7,caste,1,"{'caste': 7.3428756613716155, 'india': 4.376130924690877, 'persist': 8.595638629866983}",3340,"Counter({'NN': 3, 'WRB': 1, 'RB': 1, 'JJ': 1, 'IN': 1, '.': 1})",0,7,7,caste,1,"{'caste': 7.3428756613716155, 'india': 4.376130924690877, 'survive': 7.902491449307038}",1,0,0,0,0.9999999403953552,3,5,4,0
1678,3341,3342,What is the best way to send a fax from Australia to the United States?,How can I send a fax from Australia to the United States?,1,3341,"Counter({'DT': 3, 'NN': 3, 'TO': 2, 'WP': 1, 'VBZ': 1, 'JJS': 1, 'VB': 1, 'IN': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,15,9,SECRETARY_RICE_Yeah,1,"{'australia': 7.3428756613716155, 'fax': 8.190173521758819, 'states': 6.890890537628558}",3342,"Counter({'VB': 2, 'DT': 2, 'NN': 2, 'WRB': 1, 'MD': 1, 'IN': 1, 'TO': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,12,9,business@thedesertsun.com,1,"{'australia': 7.3428756613716155, 'fax': 8.190173521758819, 'states': 6.890890537628558}",3,0,0,0,0.5635701417922974,7,9,5,0
1679,3343,3344,"What’s the difference between data, information and knowledge in machine systems? Or is there a difference?",What's the difference between a knowledge based system and an expert system?,0,3343,"Counter({'NN': 5, 'VBZ': 2, 'DT': 2, 'IN': 2, 'NNS': 2, 'CC': 2, '.': 2, 'WP': 1, 'VBP': 1, ',': 1, 'EX': 1})",0,20,11,difference,1,"{'difference': 10.228797081062583, 'knowledge': 7.6793478979928285, 'systems': 7.091561233090709}",3344,"Counter({'NN': 5, 'DT': 3, 'WP': 1, 'VBZ': 1, 'IN': 1, 'VBN': 1, 'CC': 1, '.': 1})",0,12,10,system,0,"{'based': 6.803879160638928, 'expert': 8.595638629866983, 'knowledge': 7.6793478979928285}",8,0,1,1,-0.009107250720262527,10,6,2,0
1680,3345,3346,What is the resistance of an ideal voltmeter and ammeter?,What is the actual resistance of ammeter and voltmeter that we use in laboratory?,0,3345,"Counter({'NN': 3, 'DT': 2, 'WP': 1, 'VBZ': 1, 'IN': 1, 'JJ': 1, 'CC': 1, '.': 1})",0,10,10,ammeter,1,"{'ammeter': 8.190173521758819, 'resistance': 8.190173521758819, 'voltmeter': 8.190173521758819}",3346,"Counter({'NN': 4, 'IN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJ': 1, 'CC': 1, 'PRP': 1, 'VBP': 1, '.': 1})",0,14,10,By_Laurelle_Gilbert,1,"{'ammeter': 8.190173521758819, 'laboratory': 8.595638629866983, 'resistance': 8.190173521758819, 'voltmeter': 8.190173521758819}",4,0,0,0,0.2970053255558014,4,7,3,0
1681,3347,3348,What are some unexpected things first-time visitors to Guinea notice?,What are some unexpected things first-time visitors to Nepal notice?,0,3347,"Counter({'NNS': 3, 'JJ': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'TO': 1, 'VB': 1, '.': 1})",0,10,10,some,1,"{'notice': 8.190173521758819, 'unexpected': 8.190173521758819, 'visitors': 8.190173521758819}",3348,"Counter({'JJ': 2, 'NNS': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'TO': 1, 'VB': 1, 'NN': 1, '.': 1})",0,10,10,slowly_Jasny,1,"{'notice': 8.190173521758819, 'unexpected': 8.190173521758819, 'visitors': 8.190173521758819}",0,0,0,0,0.2902216911315918,1,9,6,0
1682,3349,3350,Is it true that the new Rs. 2000 currency notes in India will have a nano GPS chip?,How much is the truth that the new high denomination currency of India are being embedded with GPS nano chips?,1,3349,"Counter({'NN': 5, 'JJ': 3, 'IN': 2, 'DT': 2, '.': 2, 'VBZ': 1, 'PRP': 1, 'CD': 1, 'NNS': 1, 'MD': 1, 'VB': 1})",1,19,8,youā,0,"{'2000': 7.902491449307038, 'chip': 8.595638629866983, 'gps': 7.902491449307038, 'nano': 8.190173521758819}",3350,"Counter({'JJ': 4, 'NN': 4, 'IN': 3, 'DT': 2, 'NNS': 2, 'WRB': 1, 'VBZ': 1, 'VBP': 1, 'VBG': 1, 'VBN': 1, '.': 1})",0,20,12,SATA_6Gbit/sec,1,"{'chips': 8.595638629866983, 'denomination': 8.595638629866983, 'embedded': 8.190173521758819, 'nano': 8.190173521758819}",1,1,4,1,0.5741629600524902,9,7,5,0
1683,3351,3352,What is the best app for Berlin public transportation?,What are the best public transportation apps to help me in Berlin?,1,3351,"Counter({'NN': 2, 'JJ': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'IN': 1, '.': 1})",0,9,14,QUESTIONS_Have,1,"{'berlin': 7.902491449307038, 'public': 6.890890537628558, 'transportation': 8.190173521758819}",3352,"Counter({'NN': 3, 'WDT': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'JJ': 1, 'TO': 1, 'VB': 1, 'PRP': 1, 'IN': 1, '.': 1})",0,12,14,By_Laurelle_Gilbert,1,"{'apps': 6.890890537628558, 'berlin': 7.902491449307038, 'public': 6.890890537628558, 'transportation': 8.190173521758819}",3,0,0,0,0.6416523456573486,4,4,3,0
1684,3353,3354,"I'm thinking about making and then publishing a comic series featuring anthropomorphic Pokemon, but how do I do that without copyright infringement?",What do you think of the Doga comic series?,0,3353,"Counter({'NN': 5, 'VBG': 4, 'VBP': 3, 'IN': 2, 'CC': 2, 'DT': 2, 'JJ': 2, 'RB': 1, ',': 1, 'WRB': 1, 'VB': 1, '.': 1})",0,23,15,Crave_Online_How,1,"{'anthropomorphic': 8.595638629866983, 'featuring': 8.595638629866983, 'infringement': 8.595638629866983}",3354,"Counter({'NN': 2, 'WP': 1, 'VBP': 1, 'PRP': 1, 'VB': 1, 'IN': 1, 'DT': 1, 'JJ': 1, '.': 1})",0,9,6,do,1,"{'comic': 8.190173521758819, 'doga': 8.595638629866983, 'series': 6.64972848081167}",14,0,9,0,0.4962500035762787,17,2,1,0
1685,3355,3356,"How much, if at all, will cotton khakis shrink when washed?",Why does cotton shrink when washed?,0,3355,"Counter({'WRB': 2, ',': 2, 'IN': 2, 'VB': 2, 'RB': 1, 'DT': 1, 'MD': 1, 'NNS': 1, 'VBN': 1, '.': 1})",0,13,6,if,2,"{'khakis': 8.595638629866983, 'shrink': 7.902491449307038, 'washed': 7.902491449307038}",3356,"Counter({'WRB': 2, 'VBZ': 1, 'NN': 1, 'VB': 1, 'VBN': 1, '.': 1})",0,6,6,cotton,2,"{'cotton': 7.6793478979928285, 'shrink': 7.902491449307038, 'washed': 7.902491449307038}",7,0,0,0,0.08759398758411407,9,4,3,0
1686,3357,3358,"Now that Britain has voted to leave the EU, what happens now?",[Before Brexit vote] What are the pros and cons of Britain exiting/staying in the EU?,0,3357,"Counter({'RB': 2, 'DT': 2, 'NN': 2, 'VBZ': 2, 'VBN': 1, 'TO': 1, 'VB': 1, ',': 1, 'WP': 1, '.': 1})",0,13,7,now,1,"{'britain': 7.6793478979928285, 'leave': 7.3428756613716155, 'voted': 8.190173521758819}",3358,"Counter({'NN': 5, 'IN': 4, 'DT': 2, 'NNS': 2, 'JJ': 1, 'WP': 1, 'VBP': 1, 'CC': 1, '.': 1})",0,19,7,%_#F########_9v.jsn,1,"{'britain': 7.6793478979928285, 'exiting': 8.190173521758819, 'staying': 8.595638629866983, 'vote': 7.6793478979928285}",6,0,0,0,0.3486593961715698,11,2,1,0
1687,3359,3360,"Who is your role model, and why?",Who is your role model and why?,1,3359,"Counter({'NN': 2, 'WP': 1, 'VBZ': 1, 'PRP$': 1, ',': 1, 'CC': 1, 'WRB': 1, '.': 1})",0,8,5,role,2,"{',': 3.3200782504415627, 'model': 6.986200717432883, 'role': 7.091561233090709}",3360,"Counter({'NN': 2, 'WP': 1, 'VBZ': 1, 'PRP$': 1, 'CC': 1, 'WRB': 1, '.': 1})",0,7,5,role,2,"{'?': 1.0007542426504639, 'model': 6.986200717432883, 'role': 7.091561233090709}",1,0,0,0,1.0,1,6,3,0
1688,3361,3362,Have you experienced sleep paralysis? How cruel was that moment?,Do you have an interesting sleep paralysis story to share?,0,3361,"Counter({'NN': 3, '.': 2, 'VB': 1, 'PRP': 1, 'VBN': 1, 'JJ': 1, 'WRB': 1, 'VBD': 1, 'IN': 1})",0,11,11,sanctuary_DellaBianca,1,"{'cruel': 8.595638629866983, 'moment': 7.497026341198874, 'paralysis': 8.190173521758819}",3362,"Counter({'NN': 3, 'JJ': 2, 'VBP': 1, 'PRP': 1, 'VB': 1, 'DT': 1, 'TO': 1, '.': 1})",0,10,11,Johnnie_Baston_die,0,"{'paralysis': 8.190173521758819, 'share': 6.803879160638928, 'sleep': 7.091561233090709, 'story': 6.803879160638928}",1,0,0,1,0.7262840270996094,6,2,1,0
